company_id,company_cik,company_composite_figi,company_market_locale,company_share_class_figi,company_asset_type,company_ticker,company_name
56,0001781174,BBG011RWR2Q4,us,BBG011RWR2R3,stocks,ACRV,"Acrivon Therapeutics, Inc. Common Stock"
57,0001823529,BBG00WSNP4R3,us,BBG00WSNP4S2,stocks,ACT,"Enact Holdings, Inc. Common Stock"
58,0000934549,BBG000KF9J02,us,BBG001SJLJT9,stocks,ACTG,Acacia Research Corporation
59,0001652935,BBG00NK7LK03,us,BBG00NK7LK12,stocks,ACTU,"Actuate Therapeutics, Inc. Common stock"
60,0001637873,BBG00G5JGQ66,us,BBG00G5JGQ75,stocks,ACVA,ACV Auctions Inc. Class A Common Stock
61,0001100663,BBG000TH6VB3,us,BBG001S56QV7,stocks,ACWI,iShares MSCI ACWI ETF
62,0001100663,BBG000TH7DF8,us,BBG001S56R18,stocks,ACWX,iShares MSCI ACWI ex US ETF
63,0001736243,BBG01184DNJ4,us,BBG01184DNK2,stocks,ACXP,"Acurx Pharmaceuticals, Inc. Common Stock"
64,0001818838,BBG00YZ6BYJ6,us,BBG00YZ6BZC0,stocks,ADAG,Adagene Inc. American Depositary Shares
65,0001621227,BBG008G65WC2,us,BBG008G65WD1,stocks,ADAP,Adaptimmune Therapeutics plc American Depositary Shares
66,0000796343,BBG000BB5006,us,BBG001S5NCQ5,stocks,ADBE,Adobe Inc.
67,0001747661,,us,,stocks,ADD,"Color Star Technology Co., Ltd. Class A Ordinary Shares"
68,0001803696,BBG00RBFBL50,us,BBG00RBFBL78,stocks,ADEA,Adeia Inc. Common Stock
69,0002006986,BBG01P202S42,us,BBG01P202S60,stocks,ADGM,"Adagio Medical Holdings, Inc Common Stock"
70,0000006281,BBG000BB6G37,us,BBG001S5ND38,stocks,ADI,"Analog Devices, Inc."
71,0001513525,BBG00HNGDTR4,us,BBG00HNGDTS3,stocks,ADIL,"Adial Pharmaceuticals, Inc"
72,0001368514,BBG002NCK5M5,us,BBG002NCK5N4,stocks,ADMA,"ADMA Biologics, Inc."
73,0001744494,BBG00MDV8X34,us,BBG00MDV8XV3,stocks,ADN,"Advent Technologies Holdings, Inc. Class A Common Stock"
74,0001744494,BBG00MVVPD93,us,,stocks,ADNWW,"Advent Technologies Holdings, Inc. Warrant"
75,0000008670,BBG000JG0547,us,BBG001S82KF6,stocks,ADP,Automatic Data Processing
76,0001478320,BBG001J2PFF5,us,BBG001V0GG18,stocks,ADPT,Adaptive Biotechnologies Corporation Common Stock
77,0001879248,,us,,stocks,ADSE,ADS-TEC ENERGY PLC Ordinary Shares
78,0001879248,,us,,stocks,ADSEW,ADS-TEC ENERGY PLC Warrant
79,0000769397,BBG000BM7HL0,us,BBG001S5SCD4,stocks,ADSK,Autodesk Inc
80,0000926282,BBG0169CH7X9,us,BBG0169CH7Y8,stocks,ADTN,"ADTRAN Holdings, Inc. Common Stock"
81,0001726711,BBG00RDV1WS5,us,BBG00RDV1WT4,stocks,ADTX,"Aditxt, Inc. Common Stock"
82,0001863934,BBG011F62496,us,BBG00N9ZZX01,stocks,ADUR,Aduro Clean Technologies Inc. Common Stock
83,0001468328,BBG000NJGX84,us,BBG001T56D18,stocks,ADUS,Addus HomeCare Corp.
84,0001776661,BBG00PPWZ8C7,us,BBG00PPWZ8G3,stocks,ADV,Advantage Solutions Inc. Class A Common Stock
85,0001501756,BBG006D9MR17,us,BBG006D9MR26,stocks,ADVM,"Adverum Biotechnologies, Inc. Common Stock"
86,,BBG00Q6CTMG2,us,,stocks,ADVWW,Advantage Solutions Inc. Warrant
87,0001574232,BBG00R48ST95,us,BBG00R48SV18,stocks,ADXN,Addex Therapeutics Ltd American Depositary Shares
88,0001470683,,us,,stocks,AEHL,Antelope Enterprise Holdings Limited Class A Ordinary Shares
89,0001040470,BBG000BWM083,us,BBG001SB1CS4,stocks,AEHR,Aehr Test Systems
90,0001750106,BBG000PZLNH2,us,BBG001SRKK73,stocks,AEI,Alset Inc. Common Stock (TX)
91,0000927003,BBG000FKMP26,us,BBG001S8L5Z6,stocks,AEIS,Advanced Energy Industries Inc
92,0000882291,BBG000L78XT8,us,BBG001SDDHJ6,stocks,AEMD,AETHLON MEDICAL INC
93,0001823584,BBG00YB0X2R2,us,BBG00YB0X2S1,stocks,AENT,Alliance Entertainment Holding Corporation Class A Common Stock
94,0001823584,BBG00ZS05J95,us,,stocks,AENTW,Alliance Entertainment Holding Corporation Warrants
95,0000004904,BBG000BB9KF2,us,BBG001S5NFD2,stocks,AEP,"American Electric Power Company, Inc."
96,0001853044,,us,,stocks,AERT,"Aeries Technology, Inc. Class A Ordinary Share"
97,0001853044,,us,,stocks,AERTW,"Aeries Technology, Inc. Warrant"
98,0001362190,BBG002ZQLQB6,us,BBG002ZQLQC5,stocks,AEYE,"AudioEye, Inc. Common Stock"
99,0001823406,BBG00XH58W17,us,BBG00XH58WY1,stocks,AFBI,"Affinity Bancshares, Inc. Common Stock (MD)"
100,0001822523,BBG00YPSX4X5,us,BBG00YPSX5R9,stocks,AFCG,Advanced Flower Capital Inc. Common Stock
101,0001979005,,us,,stocks,AFJK,"Aimei Health Technology Co., Ltd Ordinary Share"
102,0001979005,,us,,stocks,AFJKR,"Aimei Health Technology Co., Ltd Right"
103,0001979005,,us,,stocks,AFJKU,"Aimei Health Technology Co., Ltd Unit"
104,0001608390,,us,,stocks,AFMD,Affimed N.V.
105,0001903870,,us,,stocks,AFRI,Forafric Global PLC Ordinary Shares
106,0001903870,,us,,stocks,AFRIW,Forafric Global PLC Warrants
107,0001820953,BBG00Y7BP8Y1,us,BBG00Y7BP8Z0,stocks,AFRM,"Affirm Holdings, Inc. Class A Common Stock"
108,0001771007,,us,,stocks,AFYA,Afya Limited Class A Common Shares
109,0001708341,BBG00J2442Y1,us,BBG00J2443N1,stocks,AGAE,Allied Gaming & Entertainment Inc. Common Stock
110,0001098972,BBG000C8SWQ9,us,BBG001SDV370,stocks,AGEN,Agenus Inc.
111,0001800637,BBG00R295MM0,us,BBG00R295MQ6,stocks,AGFY,Agrify Corporation Common Stock
112,0001439222,BBG000QY4ZD0,us,BBG001T8R687,stocks,AGIO,"Agios Pharmaceuticals, Inc."
113,0001536592,BBG01NT1RH61,us,BBG01NT1RJ21,stocks,AGIX,KraneShares Artificial Intelligence ETF
114,0001705402,,us,,stocks,AGMH,AGM Group Holdings Inc. Class A Ordinary Shares
115,,BBG01MQSFLS7,us,BBG01MQSFMM1,stocks,AGMI,Themes Silver Miners ETF
116,0001423689,BBG000TJ8XZ7,us,BBG001T074G2,stocks,AGNC,AGNC Investment Corp. Common Stock
117,0001423689,,us,,stocks,AGNCL,"AGNC Investment Corp. Depositary Shares Each Representing a 1/1,000th Interest in a Share of 7.75% Series G Fixed-Rate Reset Cumulative Redeemable Preferred Stock"
118,0001423689,,us,,stocks,AGNCM,AGNC Investment Corp. Depositary Shares rep 6.875% Series D Fixed-to-Floating Cumulative Redeemable Preferred Stock
119,0001423689,,us,,stocks,AGNCN,"AGNC Investment Corp. Depositary Shares Each Representing a 1/1,000th Interest in a Share of 7 percent Series C Fixed-To-Floating Rate Cumulative Redeemable Preferred Stock"
120,0001423689,,us,,stocks,AGNCO,"AGNC Investment Corp. Depositary Shares, each representing a 1/1,000th interest in a share of 6.50% Series E Fixed-to-Floating Cumulative Redeemable Preferred Stock"
121,0001423689,,us,,stocks,AGNCP,"AGNC Investment Corp. Depositary Shares Each Representing a 1/1,000th Interest in a Share of 6.125% Series F Fixed-to-Floating Rate Cumulative Redeemable Preferred Stock"
122,0001432353,BBG00CVW2JC1,us,BBG00CVW2JD0,stocks,AGNG,Global X Funds Global X Aging Population ETF
123,0001826397,,us,,stocks,AGRI,AgriFORCE Growing Systems Ltd. Common Shares
124,0000078749,BBG000BR74W6,us,BBG001S5V6V3,stocks,AGYS,"Agilysys, Inc. Common Stock (DE)"
125,0001350487,BBG005Q26B40,us,BBG005Q26B59,stocks,AGZD,WisdomTree Trust WisdomTree Interest Rate Hedged U.S. Aggregate Bond Fund
126,0001725255,BBG00KJQVGV3,us,BBG00KJQVGW2,stocks,AHCO,AdaptHealth Corp. Common Stock
127,0001702318,BBG00HVQFMZ7,us,BBG00HVQFN03,stocks,AHG,Akso Health Group ADS
128,0001100663,BBG000TVYW56,us,BBG001T0LKC4,stocks,AIA,iShares Asia 50 ETF
129,0001912582,BBG016QY23N8,us,BBG016QY23W8,stocks,AIEV,"Thunder Power Holdings, Inc. Common Stock"
130,0000803578,BBG000BF6HD5,us,BBG001S6ZMC3,stocks,AIFF,"Firefly Neuroscience, Inc. Common Stock"
131,0001413855,BBG000TJXWP2,us,BBG001T08M08,stocks,AIFU,AIX Inc. American Depositary Shares
132,0001711012,BBG00J3Q25V9,us,BBG00J3Q26K9,stocks,AIHS,Senmiao Technology Limited Common Stock
